ID,CompanyName,NationalAffiliation,DateFounded,DateClosed
CO0000,NA,NA,NA,NA
CO0001,Augustine Heard & Company,USA,1840,1875
CO0002,Russell & Company,USA,1824,1891
CO0003,Wetmore & Company,USA,,1857
CO0004,Murrow & Company,Britain,,
CO0005,Deacon & Company,Britain,1856,
CO0006,Borneo Company Ltd,Britain,1856,2018
CO0007,Meller & Company,,,
CO0008,Hong Kong and Shanghai Bank,Britain,1866,Present
CO0009,John Burd & Company,Britain,1839,
CO0010,Victoria Fire Insurance Company,Hong Kong,1870,
CO0011,Gassett & Company,,,
CO0012,"Hughes, Willgoss & Company",Britain,1862,
CO0013,Duddell & Company,Britain,,
CO0014,"Hong Kong, Canton & Macao Steamboat Company",Britain,1865,1958
CO0015,"Jardine, Matheson & Company",Britain,1832,Present
CO0016,Thomas Hunt & Company,USA,,
CO0017,Comptoir d'escompte de Paris,France,1848,1966
CO0018,Ray & Company,,,
CO0019,China Traders Insurance Company,,,
CO0020,Heard & Co,USA,1876,1876
